sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
27000 42 0.422769 0.442046 0.403491 0.4253 0.420237 0.720176 0.389152 0.421855 0.769444 0.698368 0.397201 -0.425068 0.808807
27200 37 0.445859 0.452234 0.439484 0.446199 0.445518 0.724478 0.387542 0.453216 0.783126 0.717763 0.390475 -0.444129 0.794449
27400 44 0.444713 0.449704 0.439722 0.445292 0.444134 0.724762 0.39378 0.442572 0.801024 0.719192 0.393995 -0.449286 0.798981
27600 36 0.433352 0.405094 0.461609 0.431973 0.434731 0.702459 0.40382 0.384213 0.818401 0.732096 0.395678 -0.478539 0.811436
27800 40 0.457628 0.475497 0.439759 0.458758 0.456499 0.738285 0.387459 0.47639 0.792058 0.719286 0.395559 -0.442721 0.818878
28000 42 0.419696 0.398398 0.440994 0.41972 0.419671 0.699144 0.407397 0.397072 0.833618 0.720418 0.39669 -0.443137 0.810467
28200 41 0.418285 0.410236 0.426333 0.415901 0.420668 0.700378 0.390751 0.412529 0.791038 0.71081 0.392075 -0.412619 0.793808
28400 46 0.452183 0.450855 0.453511 0.453486 0.450881 0.725702 0.398035 0.455206 0.825946 0.725727 0.393261 -0.469789 0.818215
28600 40 0.463523 0.458408 0.468638 0.465282 0.461764 0.730035 0.398286 0.465034 0.832559 0.733391 0.392188 -0.496919 0.829911
28800 44 0.439853 0.407491 0.472215 0.44025 0.439456 0.702574 0.403506 0.416221 0.836262 0.734539 0.386764 -0.476797 0.807789
29000 37 0.427448 0.428867 0.426028 0.42571 0.429185 0.712094 0.398549 0.45131 0.835361 0.712413 0.401081 -0.424509 0.829913
29200 33 0.424553 0.396467 0.452639 0.423146 0.425959 0.696828 0.406797 0.421609 0.837367 0.72632 0.394745 -0.439585 0.825974
29400 35 0.407615 0.400719 0.414512 0.407661 0.40757 0.697781 0.402038 0.407848 0.830088 0.704632 0.398538 -0.425272 0.812728
29600 28 0.461743 0.469617 0.45387 0.462946 0.46054 0.734162 0.394526 0.483843 0.834756 0.725086 0.395912 -0.482063 0.848934
29800 38 0.467208 0.492789 0.441627 0.468282 0.466133 0.746277 0.383723 0.50522 0.798348 0.719621 0.396546 -0.445168 0.826527
30000 35 0.398769 0.415767 0.381771 0.402892 0.394647 0.708149 0.406493 0.400289 0.839613 0.687029 0.400625 -0.394263 0.82857
30200 32 0.433169 0.4286 0.437739 0.43377 0.432568 0.713086 0.399095 0.423004 0.820986 0.717055 0.396999 -0.468122 0.837455
30400 27 0.433305 0.431227 0.435384 0.435469 0.431142 0.713734 0.401438 0.434129 0.837039 0.713649 0.39077 -0.449739 0.825337
30600 30 0.452574 0.423596 0.481552 0.454159 0.45099 0.710635 0.402896 0.439736 0.842713 0.738028 0.383621 -0.500595 0.809785
30800 27 0.495386 0.527334 0.463439 0.497085 0.493687 0.763656 0.37847 0.552491 0.797744 0.73001 0.389328 -0.476445 0.817102
