"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383455,1e-07,0,1.5,0.2,3,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383456,1e-07,0,1.5,0.2,3,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383457,1e-07,0,1.5,0.2,3,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383458,1e-07,0,1.5,0.2,3,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383459,1e-07,0,1.5,0.2,3,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383460,1e-07,0,1.5,0.2,3,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383461,1e-07,0,1.5,0.2,3,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383462,1e-07,0,1.5,0.2,4,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383463,1e-07,0,1.5,0.2,4,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383464,1e-07,0,1.5,0.2,4,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383465,1e-07,0,1.5,0.2,4,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383466,1e-07,0,1.5,0.2,4,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383467,1e-07,0,1.5,0.2,4,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383468,1e-07,0,1.5,0.2,4,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383469,1e-07,0,1.5,0.2,4,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383470,1e-07,0,1.5,0.2,4,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383471,1e-07,0,1.5,0.2,4,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383472,1e-07,0,1.5,0.2,5,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383473,1e-07,0,1.5,0.2,5,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383474,1e-07,0,1.5,0.2,5,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383475,1e-07,0,1.5,0.2,5,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383476,1e-07,0,1.5,0.2,5,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383477,1e-07,0,1.5,0.2,5,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383478,1e-07,0,1.5,0.2,5,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
